         551452 function calls (523216 primitive calls) in 0.370 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       34    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       33    0.000    0.000    0.003    0.000 enum.py:528(__new__)
       33    0.000    0.000    0.000    0.000 inspect.py:2712(__init__)
       33    0.000    0.000    0.000    0.000 inspect.py:2765(name)
       32    0.000    0.000    0.000    0.000 {function FreezableDefaultDict.__missing__ at 0x74d06cce3d80}
       32    0.000    0.000    0.000    0.000 __init__.py:675(joinpath)
       32    0.000    0.000    0.034    0.001 six.py:190(find_spec)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       31    0.000    0.000    0.000    0.000 typing.py:1542(<genexpr>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       28    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       28    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       28    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:438(_is_dunder)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:447(__setattr__)
       28    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
       28    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
