url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1098894 function calls (1070575 primitive calls) in 3.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11364    0.004    0.000    0.004    0.000 element.py:2771(descendants)
      329    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       18    0.000    0.000    0.004    0.000 __init__.py:914(<genexpr>)
       16    0.000    0.000    0.004    0.000 __init__.py:812(search)
        1    0.000    0.000    0.004    0.004 appdirs.py:417(user_data_dir)
        1    0.000    0.000    0.004    0.004 appdirs.py:45(user_data_dir)
  312/309    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        1    0.000    0.000    0.004    0.004 filepost.py:1(<module>)
        1    0.003    0.003    0.004    0.004 appdirs.py:506(_get_win_folder_with_ctypes)
        5    0.000    0.000    0.004    0.001 dataclasses.py:1202(dataclass)
      496    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
        5    0.000    0.000    0.004    0.001 dataclasses.py:1219(wrap)
       11    0.000    0.000    0.004    0.000 feedparser.py:178(_call_parse)
        5    0.000    0.000    0.004    0.001 dataclasses.py:884(_process_class)
        1    0.000    0.000    0.004    0.004 adapters.py:359(build_response)
     2662    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
       46    0.000    0.000    0.004    0.000 typing.py:697(Optional)
       11    0.001    0.000    0.004    0.000 feedparser.py:218(_parsegen)
     4292    0.003    0.000    0.004    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.004    0.004 bz2.py:1(<module>)
        2    0.000    0.000    0.003    0.002 readers.py:1(<module>)
    19300    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.003    0.003 core.py:21(where)
    15915    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     3470    0.003    0.000    0.003    0.000 element.py:1820(is_empty_element)
       57    0.000    0.000    0.003    0.000 parser.py:122(set_cdata_mode)
       56    0.000    0.000    0.003    0.000 css_parser.py:1106(<listcomp>)
      122    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
        2    0.000    0.000    0.003    0.002 cookies.py:1(<module>)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
        1    0.000    0.000    0.003    0.003 _common.py:17(files)
    14578    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     5036    0.002    0.000    0.003    0.000 _parser.py:284(tell)
       46    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.003    0.003 _common.py:59(from_package)
        1    0.003    0.003    0.003    0.003 models.py:909(text)
        1    0.000    0.000    0.003    0.003 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.003    0.003 _adapters.py:151(_native)
        1    0.000    0.000    0.003    0.003 _adapters.py:146(_reader)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1136(get_resource_reader)
       17    0.001    0.000    0.003    0.000 __init__.py:348(namedtuple)
     1575    0.002    0.000    0.003    0.000 typing.py:1290(__setattr__)
       18    0.000    0.000    0.003    0.000 _functools.py:75(wrapper)
       94    0.000    0.000    0.003    0.000 typing.py:1565(copy_with)
     1232    0.002    0.000    0.003    0.000 _parser.py:307(_class_escape)
        2    0.000    0.000    0.003    0.002 __init__.py:629(version)
       36    0.000    0.000    0.003    0.000 <frozen zipimport>:64(__init__)
     6785    0.003    0.000    0.003    0.000 _parser.py:109(__init__)
        2    0.000    0.000    0.003    0.002 __init__.py:602(metadata)
        2    0.000    0.000    0.003    0.002 subprocess.py:1(<module>)
     1262    0.001    0.000    0.003    0.000 _compiler.py:396(_simple)
       10    0.000    0.000    0.003    0.000 __init__.py:821(lookup)
       10    0.000    0.000    0.003    0.000 __init__.py:827(__init__)
     1122    0.002    0.000    0.003    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.003    0.003 pretty.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _common.py:1(<module>)
        2    0.000    0.000    0.003    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.003    0.003 connection.py:536(_match_hostname)
        1    0.000    0.000    0.003    0.003 message.py:1(<module>)
        1    0.000    0.000    0.003    0.003 locks.py:1(<module>)
        1    0.000    0.000    0.003    0.003 winterm.py:1(<module>)
      122    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
        1    0.000    0.000    0.003    0.003 ssl_match_hostname.py:98(match_hostname)
      335    0.001    0.000    0.003    0.000 _compiler.py:384(_mk_bitmap)
     1866    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
       30    0.000    0.000    0.003    0.000 enum.py:496(__new__)
        1    0.000    0.000    0.003    0.003 fields.py:1(<module>)
       57    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
        1    0.000    0.000    0.003    0.003 sslproto.py:1(<module>)
        1    0.000    0.000    0.003    0.003 get_version.py:1(<module>)
       78    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.002    0.001 cookiejar.py:1599(make_cookies)
        2    0.000    0.000    0.002    0.001 _adapters.py:1(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:32(message_from_string)
        4    0.000    0.000    0.002    0.001 ssl_match_hostname.py:25(_dnsname_match)
        1    0.000    0.000    0.002    0.002 fake.py:1(<module>)
     2585    0.001    0.000    0.002    0.000 css_parser.py:317(match)
        1    0.000    0.000    0.002    0.002 sessions.py:750(merge_environment_settings)
      311    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      542    0.001    0.000    0.002    0.000 enum.py:1515(__and__)
     3308    0.002    0.000    0.002    0.000 __init__.py:1065(handle_data)
      196    0.001    0.000    0.002    0.000 typing_extensions.py:3171(_collect_parameters)
        1    0.000    0.000    0.002    0.002 zipfile.py:1(<module>)
        1    0.000    0.000    0.002    0.002 utils.py:816(get_environ_proxies)
        1    0.000    0.000    0.002    0.002 __init__.py:40(__getattr__)
        1    0.000    0.000    0.002    0.002 charset.py:1(<module>)
    14711    0.002    0.000    0.002    0.000 typing.py:2246(cast)
      365    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      220    0.000    0.000    0.002    0.000 typing.py:1251(__init__)
      373    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
     4059    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        6    0.000    0.000    0.002    0.000 cookiejar.py:949(set_ok)
     3471    0.002    0.000    0.002    0.000 __init__.py:636(set_up_substitutions)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      374    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      550    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
       36    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
        1    0.000    0.000    0.002    0.002 six.py:1(<module>)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
    11396    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.002    0.001 response.py:1(<module>)
     1110    0.001    0.000    0.002    0.000 _parser.py:444(_uniq)
      306    0.001    0.000    0.002    0.000 <frozen _collections_abc>:859(__iter__)
       15    0.000    0.000    0.002    0.000 dataclasses.py:413(_create_fn)
      550    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
      322    0.000    0.000    0.002    0.000 typing.py:689(<genexpr>)
